unique_id,dataset_index,task_number,eraser_size,remaining_mask,points,user_id,actual_MNIST_label,submitted_MNIST_label,task_duration
1,2,1,5,92,84,5,4,4,24597
2,8,1,5,100,96,10,1,0,13210
3,6,1,5,100,92,9,1,7,20258
4,11,1,5,90,82,12,5,5,21057
5,9,2,10,82,72,5,4,4,26513
6,18,2,10,100,96,9,6,1,13265
7,15,1,5,100,96,16,7,0,11205
8,19,2,10,86,82,12,9,9,13212
9,10,1,5,86,72,11,3,3,37601
10,19,1,5,99,93,18,9,8,15905
11,26,3,16,100,98,9,4,9,7052
12,27,2,10,100,98,16,3,0,9192
13,28,3,16,81,77,12,2,2,10445
14,21,3,16,70,60,5,0,0,25099
15,14,1,5,89,73,15,1,1,43701
16,31,4,20,100,98,9,8,7,5552
17,32,3,16,100,98,16,6,0,6546
18,33,4,20,77,75,12,9,9,9808
19,38,4,20,100,100,16,7,0,3947
20,25,1,5,96,86,22,2,2,28584
21,37,5,25,100,98,9,0,3,5344
22,12,1,5,90,64,13,3,3,66469
23,41,5,25,80,78,12,8,8,7128
24,44,6,40,100,100,9,3,9,4230
25,34,4,20,76,70,5,0,0,18386
26,30,2,10,78,64,18,3,3,35518
27,49,7,50,100,100,9,3,2,4435
28,47,6,40,63,61,12,5,0,7340
29,42,5,25,39,33,16,7,7,17310
30,35,2,10,74,62,15,5,5,31552
31,29,2,10,66,48,11,7,7,46392
32,55,8,80,100,98,9,8,1,5286
33,50,5,25,81,75,5,3,3,15643
34,55,7,50,67,65,12,8,8,8282
35,55,3,16,73,71,18,8,9,9089
36,58,6,40,48,46,16,4,4,9616
37,60,9,100,100,98,9,4,5,5176
38,63,4,20,70,68,18,0,0,6508
39,62,8,80,60,58,12,6,0,7436
40,65,7,50,41,39,16,5,5,7423
41,66,10,200,100,100,9,6,6,3458
42,67,9,100,25,23,12,1,7,7347
43,45,1,5,93,79,26,9,9,36014
44,67,5,25,68,66,18,1,1,8852
45,15,1,5,85,51,17,7,7,88085
